snapshot,Biogas,Biogas_CHP,Biomass,Biomass_CHP,CCGT,Hydro,PV,Wind,Wind offshore,demand
2030-04-28 16:00:00,67.1688820709,0.404818626708,110.938928689,12.4095667842,4998.045455829,62.0548206035,370.106162385,315.362756855,46.2312734382,2035.8577437969282
2030-04-28 17:00:00,67.1688820709,0.436470153268,110.938928689,13.3798327423,4998.045455829,62.0548206035,207.307987658,306.109704281,46.4908803798,2093.850619206557
2030-04-28 18:00:00,67.1688820709,0.453418309683,110.938928689,13.8993722719,4998.045455829,62.0548206035,66.9873346495,278.360710707,50.8415141143,2129.949412938635
2030-04-28 19:00:00,67.1688820709,0.420683550242,110.938928689,12.8959002065,4998.045455829,62.0548206035,1.51049213124,277.756267429,70.1906973769,2125.556778821247
2030-04-28 20:00:00,67.1688820709,0.424914865924,110.938928689,13.0256096395,4998.045455829,62.0548206035,0.0,267.84133142,101.357970626,2058.237707757786
2030-04-28 21:00:00,67.1688820709,0.397476179438,110.938928689,12.1844867515,4998.045455829,62.0548206035,0.0,248.317358349,108.632697361,1948.0008644593518
2030-04-28 22:00:00,67.1688820709,0.380671811445,110.938928689,11.6693550033,4998.045455829,62.0548206035,0.0,256.732398191,159.748340474,1814.7838876554297
2030-04-28 23:00:00,67.1688820709,0.370427087278,110.938928689,11.3553067349,4998.045455829,62.0548206035,0.0,262.019713578,195.143252508,1690.2817987954122
2030-04-29 00:00:00,67.1688820709,0.421621388127,110.938928689,12.9246492835,4998.045455829,62.0548206035,0.0,260.148941258,199.198572622,1563.204372411185
2030-04-29 01:00:00,67.1688820709,0.450052937675,110.938928689,13.7962080252,4998.045455829,62.0548206035,0.0,231.186084865,165.839523286,1553.8241001577162
2030-04-29 02:00:00,67.1688820709,0.406804754477,110.938928689,12.4704508038,4998.045455829,62.0548206035,0.0,208.262082122,137.205966901,1520.78814046001
2030-04-29 03:00:00,67.1688820709,0.406642892092,110.938928689,12.4654889717,4998.045455829,62.0548206035,0.0,183.484220426,111.724536127,1492.0952581152478
2030-04-29 04:00:00,67.1688820709,0.351232136376,110.938928689,10.7668925429,4998.045455829,62.0548206035,0.0,168.317393113,111.984139245,1479.7630492123346
2030-04-29 05:00:00,67.1688820709,0.387074814254,110.938928689,11.8656367101,4998.045455829,62.0548206035,0.437051542685,169.140486732,158.773286011,1505.7227226464836
2030-04-29 06:00:00,67.1688820709,0.440633591176,110.938928689,13.507461407,4998.045455829,62.0548206035,71.4402512168,178.806326842,188.533963414,1608.0587326039088
2030-04-29 07:00:00,67.1688820709,0.46141824758,110.938928689,14.1446074391,4998.045455829,62.0548206035,233.852385488,189.448362933,205.410899899,1735.3190508907899
2030-04-29 08:00:00,67.1688820709,0.451629790581,110.938928689,13.8445458737,4998.045455829,62.0548206035,448.459729134,234.773747119,237.380657668,1835.6844127038278
2030-04-29 09:00:00,67.1688820709,0.433783157358,110.938928689,13.2974638664,4998.045455829,62.0548206035,680.182639348,281.812444317,257.151642849,1905.8083643502566
2030-04-29 10:00:00,67.1688820709,0.448015801165,110.938928689,13.7337603513,0.0,62.0548206035,843.436598876,326.739220496,267.766408782,1937.4296156323821
2030-04-29 11:00:00,67.1688820709,0.449795082462,110.938928689,13.788303568,4998.045455829,62.0548206035,860.151364678,371.999453876,400.063923157,1942.704908993996
2030-04-29 12:00:00,67.1688820709,0.420440555844,110.938928689,12.8884513022,4934.2241095567815,62.0548206035,783.110828331,428.148281411,637.627145771,1926.3812013471227
2030-04-29 13:00:00,67.1688820709,0.349520331208,110.938928689,10.7144177822,0.0,62.0548206035,709.879188858,483.551073401,784.739995183,1892.481468859392
2030-04-29 14:00:00,67.1688820709,0.329236926059,110.938928689,10.0926374238,3667.713298897007,62.0548206035,661.861362452,539.669970198,876.719475349,1857.0864780360241
2030-04-29 15:00:00,67.1688820709,0.396537538266,110.938928689,12.15571305,3573.364340338337,62.0548206035,580.835044476,555.816600206,963.741453284,1845.541204724845
2030-04-29 16:00:00,67.1688820709,0.436824804596,110.938928689,13.3907044489,4998.045455829,62.0548206035,445.185513943,572.198890418,1012.41792847,1883.8429338457215
2030-04-29 17:00:00,67.1688820709,0.412409691386,110.938928689,12.6422680926,4998.045455829,62.0548206035,259.969455877,551.675903979,1053.68837589,1967.6995976143219
2030-04-29 18:00:00,67.1688820709,0.437643354322,110.938928689,13.415796791,4998.045455829,62.0548206035,75.3009707226,528.914714092,1102.16285328,2030.9233751470567
2030-04-29 19:00:00,67.1688820709,0.441291483448,110.938928689,13.5276288537,142.93690452388068,62.0548206035,1.95765865754,548.133809337,1151.37975712,2027.7075124068467
2030-04-29 20:00:00,67.1688820709,0.438278754551,110.938928689,13.4352747524,4998.045455829,62.0548206035,0.0,567.249494213,1233.45030697,1929.172845269881
2030-04-29 21:00:00,67.1688820709,0.359106359816,110.938928689,11.0082739794,3288.8928891293167,62.0548206035,0.0,575.6882743,1313.6300448,1791.6528239390152
