snapshot,Biogas,Biogas_CHP,Biomass,Biomass_CHP,CCGT,Hydro,Nuclear,PV,SCGT,SCGT_CHP,Wind,Wind offshore,demand
2030-04-07 16:00:00,170.69109399,4.90481984208,120.50029013,66.3121475225,0.0,3.76269557687,1975.20615723,398.525532978,0.0,0.0,248.739385788,1502.6183295,4107.807903729447
2030-04-07 17:00:00,170.69109399,4.95542693994,120.50029013,66.996344995,0.0,3.76269557687,1975.20615723,204.437925448,0.0,0.0,245.053449169,1586.04781878,4279.966457930232
2030-04-07 18:00:00,170.69109399,5.02912854674,120.50029013,67.992775441,0.0,3.76269557687,1975.20615723,30.5603091653,0.0,0.0,235.551544773,1645.76442549,4384.945255577498
2030-04-07 19:00:00,170.69109399,5.24975139477,120.50029013,70.9755506125,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,223.603942599,1712.39934046,4368.122999083668
2030-04-07 20:00:00,170.69109399,5.23613567559,120.50029013,70.7914689116,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,221.628906244,1794.91390203,4176.808926364279
2030-04-07 21:00:00,170.69109399,4.66467711344,120.50029013,63.0654676116,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,224.180375647,1835.43258501,3902.16285190247
2030-04-07 22:00:00,170.69109399,4.16346602284,120.50029013,56.2891975651,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,240.3671323,1858.23240682,3619.4292044576973
2030-04-07 23:00:00,170.69109399,4.31404222115,120.50029013,58.3249565525,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,239.763124931,1861.05126065,3366.9893591680316
2030-04-08 00:00:00,170.69109399,4.15145687819,120.50029013,56.1268364188,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,236.550036911,1875.47558776,3121.9353416225267
2030-04-08 01:00:00,170.69109399,4.38228147453,120.50029013,59.2475371126,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,237.25741948,1872.25745195,3074.1780612169214
2030-04-08 02:00:00,170.69109399,4.09281690766,120.50029013,55.334036173,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,224.832343575,1828.04189297,3008.285982640061
2030-04-08 03:00:00,170.69109399,3.88046791848,120.50029013,52.463121858,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,198.637862737,1804.34867091,2944.3973948988323
2030-04-08 04:00:00,170.69109399,4.00477662314,120.50029013,54.1437497765,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,171.213041479,1752.30525548,2913.001738214919
2030-04-08 05:00:00,170.69109399,3.97372957025,120.50029013,53.7240000573,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,149.907301428,1679.99277747,2985.471247106996
2030-04-08 06:00:00,170.69109399,4.01811119178,120.50029013,54.3240303803,613.9048229882369,3.76269557687,1975.20615723,7.03611034082,0.0,0.0,154.098002727,1636.75288014,3219.7066104324617
2030-04-08 07:00:00,170.69109399,4.42794835569,120.50029013,59.8649438794,0.0,3.76269557687,1975.20615723,112.672367868,0.0,0.0,156.682536643,1599.4011395,3525.439835396277
2030-04-08 08:00:00,170.69109399,4.9122502493,120.50029013,66.4126050879,0.0,3.76269557687,1975.20615723,302.850791884,0.0,0.0,166.391446919,1545.93189163,3773.2098850968155
2030-04-08 09:00:00,170.69109399,4.92317495614,120.50029013,66.5603048598,0.0,3.76269557687,1975.20615723,478.259942303,0.0,0.0,186.40276056,1469.52717789,3923.279331242234
2030-04-08 10:00:00,170.69109399,5.54765047795,120.50029013,75.0030844642,0.0,3.76269557687,1975.20615723,576.342508767,0.0,0.0,206.528454223,1285.47651774,3997.592352684734
2030-04-08 11:00:00,170.69109399,5.43916653246,120.50029013,73.5364040094,0.0,3.76269557687,1975.20615723,647.312470238,0.0,0.0,232.186794231,1116.46807186,4011.9760035794775
2030-04-08 12:00:00,170.69109399,4.30540688302,120.50029013,58.2082085711,0.0,3.76269557687,1975.20615723,686.973700467,0.0,0.0,249.968597955,1034.59716728,3990.1345510699275
2030-04-08 13:00:00,170.69109399,4.26227437319,120.50029013,57.6250659793,0.0,3.76269557687,1975.20615723,651.520237463,0.0,0.0,249.564651447,1052.43102865,3943.7329966641364
2030-04-08 14:00:00,170.69109399,3.99461905564,120.50029013,54.0064215695,0.0,3.76269557687,1975.20615723,589.426674779,0.0,0.0,247.132735647,1033.89830654,3895.960012868572
2030-04-08 15:00:00,170.69109399,4.89152945424,120.50029013,66.1324642339,0.0,3.76269557687,1975.20615723,504.60920458,0.0,0.0,241.334317918,964.027219235,3906.2457332918702
