snapshot,Biogas,Biogas_CHP,Biomass,Biomass_CHP,CCGT,Hydro,Nuclear,Oil,PV,SCGT,SCGT_CHP,Wind,Wind offshore,demand
2030-05-25 22:00:00,190.213506983,8.36826230021,176.325152502,28.4844173265,1249.9747584291474,0.639224419425,0.0,0.0,0.0,0.0,0.0,1.74281467377,71.1028116171,3725.420162685103
2030-05-25 23:00:00,190.213506983,6.15321107479,176.325152502,20.9446867061,0.0,0.639224419425,0.0,0.0,0.0,0.0,0.0,3.142036142,82.8077904371,3404.4193557404633
2030-05-26 00:00:00,190.213506983,5.47017105129,176.325152502,18.6197121317,0.0,0.639224419425,0.0,0.0,0.0,0.0,0.0,6.33119095459,77.2433955169,3858.28669178704
2030-05-26 01:00:00,190.213506983,4.3814403926,176.325152502,14.9138222676,0.0,0.639224419425,0.0,0.0,0.0,0.0,0.0,9.60064941286,76.2893386864,3822.405124991147
2030-05-26 02:00:00,190.213506983,4.29857974454,176.325152502,14.6317759843,0.0,0.639224419425,0.0,0.0,0.0,0.0,0.0,12.7308229419,85.1560822124,3769.0499435389615
2030-05-26 03:00:00,190.213506983,3.8398787768,176.325152502,13.070420792,0.0,0.639224419425,0.0,0.0,0.0,0.0,0.0,14.675257268,88.6213101114,3724.9747368992375
2030-05-26 04:00:00,190.213506983,3.8258853921,176.325152502,13.0227892294,0.0,0.639224419425,0.0,0.0,0.0,0.0,0.0,16.8249142743,77.359396116,3708.5212123182396
2030-05-26 05:00:00,190.213506983,3.58698213572,176.325152502,12.2095953056,0.0,0.639224419425,0.0,0.0,19.0110987316,0.0,0.0,17.9108948853,76.6719674578,3840.7911309697656
2030-05-26 06:00:00,190.213506983,3.58912269546,176.325152502,12.2168814774,0.0,0.639224419425,0.0,0.0,87.8858563323,0.0,0.0,18.8534923823,89.8069570857,4248.487402002795
2030-05-26 07:00:00,190.213506983,3.572224865,176.325152502,12.1593635797,0.0,0.639224419425,0.0,0.0,194.41904618,0.0,0.0,22.5878533599,110.973345618,4744.6071940963875
2030-05-26 08:00:00,190.213506983,3.9328462246,176.325152502,13.3868692356,0.0,0.639224419425,0.0,0.0,368.866250977,0.0,0.0,26.3006903861,130.759170492,4949.668464622764
2030-05-26 09:00:00,190.213506983,3.59493158701,176.325152502,12.2366541477,0.0,0.639224419425,0.0,0.0,585.656277079,0.0,0.0,29.0047648748,138.414596614,4981.044159440652
2030-05-26 10:00:00,190.213506983,3.59629986638,176.325152502,12.241311583,0.0,0.639224419425,0.0,0.0,797.826219148,0.0,0.0,30.759338798,157.32171916,4941.024928478793
