snapshot,EN_East,EN_EastMidlands,EN_EastMidlands_Battery,EN_EastMidlands_OtherStorage,EN_East_Battery,EN_East_OtherStorage,EN_London,EN_London_Battery,EN_London_OtherStorage,EN_NorthEast,EN_NorthEast_Battery,EN_NorthEast_OtherStorage,EN_NorthWest,EN_NorthWest_Battery,EN_NorthWest_OtherStorage,EN_SouthEast,EN_SouthEast_Battery,EN_SouthEast_OtherStorage,EN_SouthWest,EN_SouthWest_Battery,EN_SouthWest_OtherStorage,EN_Wales,EN_Wales_Battery,EN_Wales_OtherStorage,EN_WestMidlands,EN_WestMidlands_Battery,EN_WestMidlands_OtherStorage,EN_Yorkshire,EN_Yorkshire_Battery,EN_Yorkshire_OtherStorage,NorthernIreland,NorthernIreland_Battery,NorthernIreland_OtherStorage,Scotland,Scotland_Battery,Scotland_OtherStorage
2030-12-26 12:00:00,-944.587360210769,275.487009101279,0.0,0.0,0.0,0.0,-5331.591397606962,0.0,0.0,-1060.9717540279114,0.0,0.0,2711.7376063186302,0.0,0.0,-5737.421987066759,0.0,0.0,-1325.4847204846392,0.0,0.0,5071.116678532276,0.0,0.0,-2437.5182222723015,0.0,0.0,1772.1986336372784,0.0,0.0,-310.93083416990237,0.0,0.0,7317.966348247133,0.0,0.0
2030-12-26 13:00:00,-74.46351710487033,963.6451414633948,0.0,0.0,0.0,0.0,-5149.628299495073,0.0,0.0,-1095.0952085997085,0.0,0.0,2586.564494956776,0.0,0.0,-3249.980579740407,0.0,0.0,-2462.4801946515527,0.0,0.0,2397.536198166395,0.0,0.0,-2497.9672143549765,0.0,0.0,1214.8691793557878,0.0,0.0,-499.9999999950798,0.0,0.0,7866.999999997022,0.0,0.0
2030-12-26 14:00:00,-657.943554397681,419.6170969969621,0.0,0.0,4.547473508864641e-13,0.0,-5289.692829737832,0.0,0.0,-1187.6814035846458,0.0,0.0,2378.9150563003304,0.0,0.0,-5338.591104630356,0.0,0.0,-1524.6608618255932,0.0,0.0,4646.288853997865,0.0,0.0,-2685.017600400691,0.0,0.0,1871.7663472814002,0.0,0.0,-500.00000000427315,0.0,0.0,7867.000000003925,0.0,0.0
2030-12-26 15:00:00,-945.8642169585023,673.6388306567442,0.0,0.0,0.0,0.0,-5222.99280099568,0.0,0.0,-1100.3922862098657,0.0,0.0,1965.550944152108,0.0,0.0,-3983.332169835619,0.0,0.0,-1959.785248027432,0.0,0.0,4206.301191315919,0.0,0.0,-3026.9678967593163,0.0,0.0,2026.843652652136,0.0,0.0,-500.00000000137436,1.4210854715202004e-14,0.0,7866.999999997068,0.0,0.0
2030-12-26 16:00:00,-97.33398319558114,1919.5775698801572,0.0,0.0,0.0,0.0,-5346.027398259489,0.0,0.0,-1305.8997421818297,0.0,0.0,1385.5451921415452,0.0,0.0,-3361.894991964793,0.0,0.0,-2259.6963745158646,0.0,0.0,3673.9624992728227,0.0,0.0,-3446.299132353372,0.0,0.0,1471.0663611852897,0.0,0.0,-500.0000000016208,2.842170943040401e-14,0.0,7867.000000003842,0.0,0.0
2030-12-26 17:00:00,471.6595102269953,2388.7426333967855,0.0,0.0,0.0,0.0,-5571.372811911903,0.0,0.0,-1369.5768104934,0.0,0.0,1135.909083789742,0.0,0.0,-3340.8023355399005,0.0,0.0,-2292.764951895627,0.0,0.0,3524.85736080771,0.0,0.0,-3587.635698874111,0.0,0.0,1273.984020504573,0.0,0.0,-500.0000000037962,3.552713678800501e-15,0.0,7867.000000001219,0.0,0.0
2030-12-26 18:00:00,451.5127551348196,2453.467143024583,0.0,0.0,0.0,0.0,-5603.158337355478,0.0,0.0,-1373.0423956863951,0.0,0.0,1091.3301015927955,0.0,0.0,-3200.2786837309236,0.0,0.0,-2328.170386268751,0.0,0.0,3508.6561665814925,0.0,0.0,-3607.4222057036654,0.0,0.0,1240.1058424096514,0.0,0.0,-500.0000000040402,0.0,0.0,7866.999999999947,0.0,0.0
2030-12-26 19:00:00,-276.3870388836133,2034.0956473551955,0.0,0.0,0.0,0.0,-5578.135063589767,0.0,0.0,-1310.6924583066339,0.0,0.0,1292.196491170499,0.0,0.0,-2712.0260362652684,0.0,0.0,-2390.8009617477182,0.0,0.0,3669.2551077059175,0.0,0.0,-3500.4097499474633,0.0,0.0,1405.9040625068733,0.0,0.0,-499.99999999996453,0.0,0.0,7867.000000003838,0.0,0.0
2030-12-26 20:00:00,131.28987180381796,1468.312634495726,0.0,0.0,0.0,0.0,-5226.003448036067,0.0,0.0,-1197.156818885962,0.0,0.0,1621.8656457661273,0.0,0.0,-4480.579621459953,0.0,0.0,-1950.4424811382264,0.0,0.0,3879.119299976804,0.0,0.0,-3279.128273184198,0.0,0.0,1665.723190661252,0.0,0.0,-500.0000000006581,0.0,0.0,7867.000000002855,0.0,0.0
2030-12-26 21:00:00,-1020.9019438135078,767.12999515809,0.0,0.0,0.0,0.0,-4690.118405679734,0.0,0.0,-1071.0416122024924,0.0,0.0,1957.6310721889558,0.0,0.0,-4314.848228845203,0.0,0.0,-1971.7184667691408,0.0,0.0,4083.1318906063975,0.0,0.0,-3033.486466173675,0.0,0.0,1927.2221655290523,0.0,0.0,-311.75530655126624,0.0,0.0,7678.755306549282,0.0,0.0
2030-12-26 22:00:00,-785.0168837799624,882.2415768148843,0.0,0.0,0.0,0.0,-4437.875335849527,0.0,0.0,-1195.3191087749321,0.0,0.0,2491.61231542067,0.0,0.0,-3899.4808504621183,0.0,0.0,-2265.933396063222,0.0,0.0,3127.4559325390305,0.0,0.0,-2783.7860011136104,0.0,0.0,1499.101751267271,0.0,0.0,-500.00000000042144,0.0,0.0,7866.999999998841,0.0,0.0
2030-12-26 23:00:00,-1346.8243028247903,932.6544556212634,0.0,0.0,0.0,0.0,-4099.802987471104,0.0,0.0,-1090.7808845718926,0.0,0.0,2777.743250176923,0.0,0.0,-3587.0847969857655,0.0,0.0,-2380.6740216257213,0.0,0.0,3031.575114992116,0.0,0.0,-2574.231964587899,0.0,0.0,970.4261372919314,0.0,0.0,-324.7763586860144,0.0,0.0,7691.776358685871,0.0,0.0
2030-12-27 00:00:00,-2088.7862491620285,671.8895702872492,0.0,0.0,0.0,0.0,-3953.272683407008,0.0,0.0,-783.4964459516962,0.0,0.0,1798.41386755252,0.0,0.0,-3419.9282087078586,0.0,0.0,-2285.4031357368385,0.0,0.0,4036.8524005852996,0.0,0.0,-3391.3516938685657,0.0,0.0,2048.082578396117,0.0,0.0,-499.9999999999278,0.0,0.0,7867.000000000941,0.0,0.0
2030-12-27 01:00:00,-932.8968773596057,567.5129512657045,0.0,0.0,0.0,0.0,-3842.1542914448946,0.0,0.0,-1534.6495841056317,0.0,0.0,2492.3778882316033,0.0,0.0,-4475.188549185794,0.0,0.0,-2217.0025481177067,0.0,0.0,2933.2034110454933,0.0,0.0,-2409.5332551779284,0.0,0.0,2051.3308548437008,0.0,0.0,-247.95054508637975,0.0,0.0,7614.950545090376,0.0,0.0
2030-12-27 02:00:00,-681.2074699975374,859.3073076218366,0.0,0.0,0.0,0.0,-3865.7198846277706,0.0,0.0,-1751.7010377777615,0.0,0.0,2001.389557464492,0.0,0.0,-3170.2596324957362,0.0,0.0,-2689.944458936815,0.0,0.0,2323.129273911557,0.0,0.0,-3205.305135468887,0.0,0.0,2813.311480316379,0.0,0.0,-499.99999999952604,0.0,0.0,7866.9999999955635,0.0,0.0
